Rank,Movie,Cast,Year,IMDB Rating
50,Memento,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss",2000,8.4
51,Apocalypse Now,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando",1979,8.4
52,Alien,"Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt",1979,8.4
53,The Great Dictator,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",1940,8.4
54,Nuovo Cinema Paradiso,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale",1988,8.4
55,Hotaru no haka,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi",1988,8.4
56,Sunset Blvd.,"Billy Wilder (dir.), William Holden, Gloria Swanson",1950,8.4
57,The Lives of Others,"Florian Henckel von Donnersmarck (dir.), Ulrich MÌ_he, Martina Gedeck",2006,8.4
58,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott",1964,8.4
59,Paths of Glory,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker",1957,8.4
60,The Shining,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall",1980,8.4
61,Django Unchained,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz",2012,8.4
62,WALLåáE,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight",2008,8.4
63,Mononoke-hime,"Hayao Miyazaki (dir.), YÌ«ji Matsuda, Yuriko Ishida",1997,8.4
64,Witness for the Prosecution,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich",1957,8.4
65,American Beauty,"Sam Mendes (dir.), Kevin Spacey, Annette Bening",1999,8.4
66,The Dark Knight Rises,"Christopher Nolan (dir.), Christian Bale, Tom Hardy",2012,8.4
67,Coco,"Lee Unkrich (dir.), Anthony Gonzalez, Gael GarcÌ_a Bernal",2017,8.4
68,Oldeuboi,"Chan-wook Park (dir.), Min-sik Choi, Ji-tae Yu",2003,8.3
69,Aliens,"James Cameron (dir.), Sigourney Weaver, Michael Biehn",1986,8.3
70,Once Upon a Time in America,"Sergio Leone (dir.), Robert De Niro, James Woods",1984,8.3
71,Das Boot,"Wolfgang Petersen (dir.), JÌ_rgen Prochnow, Herbert GrÌ¦nemeyer",1981,8.3
72,Citizen Kane,"Orson Welles (dir.), Orson Welles, Joseph Cotten",1941,8.3
73,Braveheart,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau",1995,8.3
74,Vertigo,"Alfred Hitchcock (dir.), James Stewart, Kim Novak",1958,8.3
75,North by Northwest,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint",1959,8.3
76,Reservoir Dogs,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth",1992,8.3
77,Star Wars: Episode VI - Return of the Jedi,"Richard Marquand (dir.), Mark Hamill, Harrison Ford",1983,8.3
78,Kimi no na wa.,"Makoto Shinkai (dir.), RyÌÈnosuke Kamiki, Mone Kamishiraishi",2016,8.3
79,M - Eine Stadt sucht einen MÌ¦rder,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann",1931,8.3
80,Dangal,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar",2016,8.3
81,Requiem for a Dream,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto",2000,8.3
82,Amadeus,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce",1984,8.3
83,Taare Zameen Par,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan",2007,8.3
84,Lawrence of Arabia,"David Lean (dir.), Peter O'Toole, Alec Guinness",1962,8.3
85,Eternal Sunshine of the Spotless Mind,"Michel Gondry (dir.), Jim Carrey, Kate Winslet",2004,8.3
86,A Clockwork Orange,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee",1971,8.3
87,AmÌ©lie,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz",2001,8.3
88,Double Indemnity,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck",1944,8.3
89,3 Idiots,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan",2009,8.3
90,2001: A Space Odyssey,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood",1968,8.3
91,Toy Story,"John Lasseter (dir.), Tom Hanks, Tim Allen",1995,8.3
92,Taxi Driver,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster",1976,8.3
93,Singin' in the Rain,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor",1952,8.3
94,Full Metal Jacket,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey",1987,8.3
95,Inglourious Basterds,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger",2009,8.3
96,To Kill a Mockingbird,"Robert Mulligan (dir.), Gregory Peck, John Megna",1962,8.3
97,Ladri di biciclette,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola",1948,8.3
98,The Kid,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance",1921,8.3
99,The Sting,"George Roy Hill (dir.), Paul Newman, Robert Redford",1973,8.3
100,Toy Story 3,"Lee Unkrich (dir.), Tom Hanks, Tim Allen",2010,8.3
101,Good Will Hunting,"Gus Van Sant (dir.), Robin Williams, Matt Damon",1997,8.3
102,Jagten,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen",2012,8.3
103,Snatch,"Guy Ritchie (dir.), Jason Statham, Brad Pitt",2000,8.3
104,Monty Python and the Holy Grail,"Terry Gilliam (dir.), Graham Chapman, John Cleese",1975,8.2
105,Scarface,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer",1983,8.2
106,Per qualche dollaro in piÌ_,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef",1965,8.2
107,L.A. Confidential,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe",1997,8.2
108,The Apartment,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine",1960,8.2
109,Metropolis,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel",1927,8.2
110,Jodaeiye Nader az Simin,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami",2011,8.2
111,Indiana Jones and the Last Crusade,"Steven Spielberg (dir.), Harrison Ford, Sean Connery",1989,8.2
112,RashÌ«mon,"Akira Kurosawa (dir.), ToshirÌ« Mifune, Machiko KyÌ«",1950,8.2
113,Up,"Pete Docter (dir.), Edward Asner, Jordan Nagai",2009,8.2
114,All About Eve,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter",1950,8.2
115,YÌ«jinbÌ«,"Akira Kurosawa (dir.), ToshirÌ« Mifune, EijirÌ« TÌ«no",1961,8.2
116,Batman Begins,"Christopher Nolan (dir.), Christian Bale, Michael Caine",2005,8.2
117,Some Like It Hot,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis",1959,8.2
118,Unforgiven,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman",1992,8.2
119,Der Untergang,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara",2004,8.2
120,The Treasure of the Sierra Madre,"John Huston (dir.), Humphrey Bogart, Walter Huston",1948,8.2
121,Die Hard,"John McTiernan (dir.), Bruce Willis, Alan Rickman",1988,8.2
122,Heat,"Michael Mann (dir.), Al Pacino, Robert De Niro",1995,8.2
123,Ikiru,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko",1952,8.2
124,Raging Bull,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty",1980,8.2
125,Incendies,"Denis Villeneuve (dir.), Lubna Azabal, MÌ©lissa DÌ©sormeaux-Poulin",2010,8.2
126,The Great Escape,"John Sturges (dir.), Steve McQueen, James Garner",1963,8.2
127,Babam ve Oglum,"Ìàagan Irmak (dir.), Ìàetin Tekindor, Fikret Kuskan",2005,8.2
128,Bacheha-Ye aseman,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian",1997,8.2
129,Pan's Labyrinth,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil",2006,8.2
130,The Third Man,"Carol Reed (dir.), Orson Welles, Joseph Cotten",1949,8.2
131,Chinatown,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway",1974,8.2
132,Tonari no Totoro,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka",1988,8.2
133,Ran,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao",1985,8.2
134,Hauru no ugoku shiro,"Hayao Miyazaki (dir.), Chieko BaishÌ«, Takuya Kimura",2004,8.2
135,Judgment at Nuremberg,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster",1961,8.2
136,El secreto de sus ojos,"Juan JosÌ© Campanella (dir.), Ricardo DarÌ_n, Soledad Villamil",2009,8.2
137,The Gold Rush,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain",1925,8.2
138,The Bridge on the River Kwai,"David Lean (dir.), William Holden, Alec Guinness",1957,8.2
139,"Three Billboards Outside Ebbing, Missouri","Martin McDonagh (dir.), Frances McDormand, Woody Harrelson",2017,8.2
140,A Beautiful Mind,"Ron Howard (dir.), Russell Crowe, Ed Harris",2001,8.2
141,On the Waterfront,"Elia Kazan (dir.), Marlon Brando, Karl Malden",1954,8.2
142,"Lock, Stock and Two Smoking Barrels","Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher",1998,8.2
143,Casino,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone",1995,8.2
144,Det sjunde inseglet,"Ingmar Bergman (dir.), Max von Sydow, Gunnar BjÌ¦rnstrand",1957,8.2
145,Inside Out,"Pete Docter (dir.), Amy Poehler, Bill Hader",2015,8.2
146,Room,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay",2015,8.1
147,The Elephant Man,"David Lynch (dir.), Anthony Hopkins, John Hurt",1980,8.1
148,Mr. Smith Goes to Washington,"Frank Capra (dir.), James Stewart, Jean Arthur",1939,8.1
149,The Wolf of Wall Street,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill",2013,8.1
150,V for Vendetta,"James McTeigue (dir.), Hugo Weaving, Natalie Portman",2005,8.1
151,Warrior,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte",2011,8.1
152,Blade Runner,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer",1982,8.1
153,The General,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack",1926,8.1
154,SmultronstÌ_llet,"Ingmar Bergman (dir.), Victor SjÌ¦strÌ¦m, Bibi Andersson",1957,8.1
155,Dial M for Murder,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly",1954,8.1
156,Trainspotting,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner",1996,8.1
157,No Country for Old Men,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem",2007,8.1
158,There Will Be Blood,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano",2007,8.1
159,The Sixth Sense,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment",1999,8.1
160,Gone with the Wind,"Victor Fleming (dir.), Clark Gable, Vivien Leigh",1939,8.1
161,The Thing,"John Carpenter (dir.), Kurt Russell, Wilford Brimley",1982,8.1
162,Fargo,"Joel Coen (dir.), William H. Macy, Frances McDormand",1996,8.1
163,Gran Torino,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang",2008,8.1
164,The Deer Hunter,"Michael Cimino (dir.), Robert De Niro, Christopher Walken",1978,8.1
165,Finding Nemo,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres",2003,8.1
166,Idi i smotri,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova",1985,8.1
167,Sherlock Jr.,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire",1924,8.1
168,The Big Lebowski,"Joel Coen (dir.), Jeff Bridges, John Goodman",1998,8.1
169,A Star Is Born,"Bradley Cooper (dir.), Lady Gaga, Bradley Cooper",2018,8.1
170,Kill Bill: Vol. 1,"Quentin Tarantino (dir.), Uma Thurman, David Carradine",2003,8.1
171,Shutter Island,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer",2010,8.1
172,Cool Hand Luke,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy",1967,8.1
173,Rebecca,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine",1940,8.1
174,TÌ«kyÌ« monogatari,"YasujirÌ« Ozu (dir.), ChishÌÈ RyÌÈ, Chieko Higashiyama",1953,8.1
175,Hacksaw Ridge,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington",2016,8.1
176,Mary and Max,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman",2009,8.1
177,Sunrise: A Song of Two Humans,"F.W. Murnau (dir.), George O'Brien, Janet Gaynor",1927,8.1
178,How to Train Your Dragon,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler",2010,8.1
179,Gone Girl,"David Fincher (dir.), Ben Affleck, Rosamund Pike",2014,8.1
180,Relatos salvajes,"DamiÌÁn Szifron (dir.), DarÌ_o Grandinetti, MarÌ_a Marull",2014,8.1
181,Jurassic Park,"Steven Spielberg (dir.), Sam Neill, Laura Dern",1993,8.1
182,Into the Wild,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn",2007,8.1
183,Life of Brian,"Terry Jones (dir.), Graham Chapman, John Cleese",1979,8.1
184,Eskiya,"Yavuz Turgul (dir.), Sener Sen, Ugur YÌ_cel",1996,8.1
185,It Happened One Night,"Frank Capra (dir.), Clark Gable, Claudette Colbert",1934,8.1
186,In the Name of the Father,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite",1993,8.1
187,Platoon,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger",1986,8.1
188,The Grand Budapest Hotel,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham",2014,8.1
189,Stand by Me,"Rob Reiner (dir.), Wil Wheaton, River Phoenix",1986,8.1
190,Network,"Sidney Lumet (dir.), Faye Dunaway, William Holden",1976,8.1
191,The Truman Show,"Peter Weir (dir.), Jim Carrey, Ed Harris",1998,8.1
192,Stalker,"Andrei Tarkovsky (dir.), Alisa Freyndlikh, Aleksandr Kaydanovskiy",1979,8.1
193,Hotel Rwanda,"Terry George (dir.), Don Cheadle, Sophie Okonedo",2004,8.1
194,Ben-Hur,"William Wyler (dir.), Charlton Heston, Jack Hawkins",1959,8.1
195,Persona,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann",1966,8.1
196,Salinui chueok,"Joon-ho Bong (dir.), Kang-ho Song, Sang-kyung Kim",2003,8.1
197,Andrei Rublev,"Andrei Tarkovsky (dir.), Anatoliy Solonitsyn, Ivan Lapikov",1966,8.1
198,12 Years a Slave,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams",2013,8.1
199,Le salaire de la peur,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel",1953,8.1
200,Million Dollar Baby,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood",2004,8.1
201,Rang De Basanti,"Rakeysh Omprakash Mehra (dir.), Aamir Khan, Soha Ali Khan",2006,8.1
202,La passion de Jeanne d'Arc,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain",1928,8.1
203,Rush,"Ron Howard (dir.), Daniel BrÌ_hl, Chris Hemsworth",2013,8.1
204,Mad Max: Fury Road,"George Miller (dir.), Tom Hardy, Charlize Theron",2015,8.1
205,Before Sunrise,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",1995,8.1
206,Les quatre cents coups,"FranÌ¤ois Truffaut (dir.), Jean-Pierre LÌ©aud, Albert RÌ©my",1959,8.1
207,Spotlight,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton",2015,8.1
208,Logan,"James Mangold (dir.), Hugh Jackman, Patrick Stewart",2017,8.1
209,Hachi: A Dog's Tale,"Lasse HallstrÌ¦m (dir.), Richard Gere, Joan Allen",2009,8.1
210,Amores perros,"Alejandro G. IÌ±ÌÁrritu (dir.), Emilio EchevarrÌ_a, Gael GarcÌ_a Bernal",2000,8.1
211,Prisoners,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal",2013,8.1
212,The Princess Bride,"Rob Reiner (dir.), Cary Elwes, Mandy Patinkin",1987,8.1
213,Kaze no tani no Naushika,"Hayao Miyazaki (dir.), Sumi Shimamoto, Mahito Tsujimura",1984,8
214,Catch Me If You Can,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks",2002,8
215,Butch Cassidy and the Sundance Kid,"George Roy Hill (dir.), Paul Newman, Robert Redford",1969,8
216,Harry Potter and the Deathly Hallows: Part 2,"David Yates (dir.), Daniel Radcliffe, Emma Watson",2011,8
217,Rocky,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire",1976,8
218,Barry Lyndon,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson",1975,8
219,"Monsters, Inc.","Pete Docter (dir.), Billy Crystal, John Goodman",2001,8
220,The Grapes of Wrath,"John Ford (dir.), Henry Fonda, Jane Darwell",1940,8
221,The Maltese Falcon,"John Huston (dir.), Humphrey Bogart, Mary Astor",1941,8
222,Sanjuro,"Akira Kurosawa (dir.), ToshirÌ« Mifune, Tatsuya Nakadai",1962,8
223,Les diaboliques,"Henri-Georges Clouzot (dir.), Simone Signoret, VÌ©ra Clouzot",1955,8
224,Donnie Darko,"Richard Kelly (dir.), Jake Gyllenhaal, Jena Malone",2001,8
225,The Terminator,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",1984,8
226,Gandhi,"Richard Attenborough (dir.), Ben Kingsley, John Gielgud",1982,8
227,Dead Poets Society,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard",1989,8
228,Blade Runner 2049,"Denis Villeneuve (dir.), Harrison Ford, Ryan Gosling",2017,8
229,La haine,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert KoundÌ©",1995,8
230,Le notti di Cabiria,"Federico Fellini (dir.), Giulietta Masina, FranÌ¤ois PÌ©rier",1957,8
231,Groundhog Day,"Harold Ramis (dir.), Bill Murray, Andie MacDowell",1993,8
232,La La Land,"Damien Chazelle (dir.), Ryan Gosling, Emma Stone",2016,8
233,The Wizard of Oz,"Victor Fleming (dir.), Judy Garland, Frank Morgan",1939,8
234,Jaws,"Steven Spielberg (dir.), Roy Scheider, Robert Shaw",1975,8
235,The Help,"Tate Taylor (dir.), Emma Stone, Viola Davis",2011,8
236,Faa yeung nin wa,"Kar-Wai Wong (dir.), Tony Chiu-Wai Leung, Maggie Cheung",2000,8
237,Paper Moon,"Peter Bogdanovich (dir.), Ryan O'Neal, Tatum O'Neal",1973,8
238,Gangs of Wasseypur,"Anurag Kashyap (dir.), Manoj Bajpayee, Richa Chadha",2012,8
239,Before Sunset,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",2004,8
240,A Wednesday,"Neeraj Pandey (dir.), Anupam Kher, Naseeruddin Shah",2008,8
241,Mandariinid,"Zaza Urushadze (dir.), Lembit Ulfsak, Elmo NÌ_ganen",2013,8
242,"Paris, Texas","Wim Wenders (dir.), Harry Dean Stanton, Nastassja Kinski",1984,8
243,The Bourne Ultimatum,"Paul Greengrass (dir.), Matt Damon, Edgar RamÌ_rez",2007,8
244,Guardians of the Galaxy,"James Gunn (dir.), Chris Pratt, Vin Diesel",2014,8
245,Ah-ga-ssi,"Chan-wook Park (dir.), Min-hee Kim, Jung-woo Ha",2016,8
246,The Best Years of Our Lives,"William Wyler (dir.), Myrna Loy, Dana Andrews",1946,8
247,PK,"Rajkumar Hirani (dir.), Aamir Khan, Anushka Sharma",2014,8
248,TenkÌÈ no shiro Rapyuta,"Hayao Miyazaki (dir.), Anna Paquin, James Van Der Beek",1986,8
249,Pirates of the Caribbean: The Curse of the Black Pearl,"Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush",2003,8
250,Akira,"Katsuhiro ÌÓtomo (dir.), Mitsuo Iwata, Nozomu Sasaki",1988,8
